name,original_Pincode,lat,lon,county,state,state_code,country
Ganol,382265,22.582077,72.437955,Dholka Taluka,Gujarat,GJ,India
Ingoli,382265,22.60099,72.48644,Ahmadabad,Gujarat,GJ,India
Kauka,382265,22.6109505,72.444482,Dholka Taluka,Gujarat,GJ,India
Pisawada,382265,22.643686,72.477442,Ahmadabad,Gujarat,GJ,India
Simej,382265,22.6136441,72.4093578,Dholka Taluka,Gujarat,GJ,India
Varna,382265,22.501894,72.395965,Ahmadabad,Gujarat,GJ,India
Vataman,382265,22.5244945,72.4149129,Dholka Taluka,Gujarat,GJ,India
Virdi,382265,21.179706,70.387057,Junagadh,Gujarat,GJ,India
Dalod,382130,23.3610078,71.9700549,Mandal Taluka,Gujarat,GJ,India
Dhedasana,382130,,,,,,
Kadvasan,382130,20.8354,70.689428,Amreli,Gujarat,GJ,India
Kunpur,382130,23.354455,72.008249,Ahmadabad,Gujarat,GJ,India
Mandal (Ahmedabad),382130,23.2883831,71.9178854,Mandal Taluka,Gujarat,GJ,India
Nana Ubhada,382130,,,,,,
Navagam,382130,22.798302,72.578924,Kheda,Gujarat,GJ,India
Nayakpur,382130,23.416488,71.977421,Ahmadabad,Gujarat,GJ,India
Rakhiana,382130,,,,,,
Ribadi,382130,,,,,,
Solgam,382130,23.3240153,72.0211362,Mandal Taluka,Gujarat,GJ,India
Vanpardi,382130,23.3790001,71.9658861,Mandal Taluka,Gujarat,GJ,India
Varmor,382130,23.357455,71.902458,Ahmadabad,Gujarat,GJ,India
Vinzuvada,382130,23.36082,71.92601,Ahmadabad,Gujarat,GJ,India
Asalgam,382150,22.899561,72.100114,Ahmadabad,Gujarat,GJ,India
Bordibazar Viramgam,382150,23.128868,72.04587,Ahmadabad,Gujarat,GJ,India
Daslana,382150,23.25822,72.05582,Ahmadabad,Gujarat,GJ,India
Dhakdi,382150,23.182172,71.98167,Ahmadabad,Gujarat,GJ,India
Dumana,382150,23.130429,71.979781,Ahmadabad,Gujarat,GJ,India
Ghoda,382150,22.947488,72.070279,Ahmadabad,Gujarat,GJ,India
Goraiya,382150,23.1321096,71.9279683,Viramgam Taluka,Gujarat,GJ,India
Hansalpur,382150,23.0892758,72.06425,Viramgam Taluka,Gujarat,GJ,India
Hirapura,382150,23.1489502,72.1505173,Viramgam Taluka,Gujarat,GJ,India
Jakwada,382150,,,,,,
Jalampur,382150,23.660752,73.489864,Sabar Kantha,Gujarat,GJ,India
Joshipura,382150,23.200564,72.112486,Ahmadabad,Gujarat,GJ,India
Junapadhar,382150,,,,,,
Kamijala,382150,,,,,,
Kankravadi,382150,,,,,,
Karakthal,382150,23.051763,72.111515,Ahmadabad,Gujarat,GJ,India
Khudad,382150,23.189606,72.133775,Ahmadabad,Gujarat,GJ,India
Kokta,382150,23.162048,72.086708,Ahmadabad,Gujarat,GJ,India
Kumarkhan,382150,22.9065033,72.019811,Viramgam Taluka,Gujarat,GJ,India
Melaj,382150,23.162075,72.166683,Ahmadabad,Gujarat,GJ,India
Ogan,382150,23.029047,72.171335,Ahmadabad,Gujarat,GJ,India
Rahemalpur,382150,23.071582,72.028612,Ahmadabad,Gujarat,GJ,India
Rangpur,382150,22.402663,71.926378,Surendranagar,Gujarat,GJ,India
Sachana,382150,23.079885,72.173871,Ahmadabad,Gujarat,GJ,India
Sarsavadi,382150,,,,,,
Thori Mubarak,382150,23.0529725,72.0459688,Viramgam Taluka,Gujarat,GJ,India
Thuleta,382150,22.939329,72.10325,Ahmadabad,Gujarat,GJ,India
Trent,382150,23.219811,72.006732,Ahmadabad,Gujarat,GJ,India
Ukhlod,382150,23.2184793,72.0412333,Viramgam Taluka,Gujarat,GJ,India
Vadgas,382150,23.0904,71.946455,Ahmadabad,Gujarat,GJ,India
Vani,382150,23.0683251,71.9814201,Viramgam Taluka,Gujarat,GJ,India
Vansva,382150,21.210972,72.659289,Surat,Gujarat,GJ,India
Vanthal,382150,22.981563,72.03186,Ahmadabad,Gujarat,GJ,India
Viramgam,382150,23.1270255,72.0511173,Viramgam Taluka,Gujarat,GJ,India
Zezra,382150,23.345412,71.761276,Surendranagar,Gujarat,GJ,India
Andej,382115,,,,,,
Chekhla,382115,23.0619005,72.3687818,Sanand Taluka,Gujarat,GJ,India
Godhavi,382115,23.02348,72.409238,Ahmadabad,Gujarat,GJ,India
Bakrana,382170,22.962569,72.16046,Ahmadabad,Gujarat,GJ,India
Bol,382170,22.990849,72.265377,Ahmadabad,Gujarat,GJ,India
Nedharad,382115,,,,,,
Chharodi,382170,23.045578,72.265252,Ahmadabad,Gujarat,GJ,India
Dodar,382170,,,,,,
Dodar,382170,,,,,,
Iawa (Vasna),382170,22.770495,72.74234,Kheda,Gujarat,GJ,India
Iawa (Vasna),382170,22.770495,72.74234,Kheda,Gujarat,GJ,India
Jholapur,382170,,,,,,
Changodar,382213,22.9402206,72.4567127,Daskroi Taluka,Gujarat,GJ,India
Khorajnanoda,382170,,,,,,
Siawada,382170,,,,,,
Devtimoti,382213,,,,,,
Vasna (Iawa),382170,22.770495,72.74234,Kheda,Gujarat,GJ,India
Virochannagar,382170,23.096347,72.227206,Ahmadabad,Gujarat,GJ,India
Matoda,382213,22.8838171,72.3995579,Sanand Taluka,Gujarat,GJ,India
Moraiya,382213,22.9306513,72.4407996,Sanand Taluka,Gujarat,GJ,India
Vasna Chacharvadi,382213,22.781948,72.462896,Ahmadabad,Gujarat,GJ,India
Charel,382110,21.948919,70.401792,Rajkot,Gujarat,GJ,India
Fangadi,382110,24.498495,71.481081,Banas Kantha,Gujarat,GJ,India
Goraj,382110,22.969388,72.324073,Ahmadabad,Gujarat,GJ,India
Jamp,382110,,,,,,
