DNo,Location,Social Category,Income,dropout,prim_Boys_social_category,prim_Boys_income
12401,ANGUL,Overall,High,0,72.18186259269714,27.818137407302856
12402,BALASORE,General,High,0,76.72200351953506,23.277997970581055
12402,BALASORE,OBC,High,0,55.37603199481964,44.62396502494812
12402,BALASORE,SC,High,0,75.51307380199432,24.486929178237915
12402,BALASORE,ST,High,0,77.49419510364532,22.505801916122437
12402,BALASORE,Overall,High,0,72.18186259269714,27.818137407302856
12403,BARAGARH,General,High,0,76.72200351953506,23.277997970581055
12403,BARAGARH,OBC,High,0,75.98847150802612,24.0115225315094
12403,BARAGARH,SC,High,0,75.51307380199432,24.486929178237915
12403,BARAGARH,ST,High,0,77.49419510364532,22.505801916122437
12403,BARAGARH,Overall,High,0,72.18186259269714,27.818137407302856
12404,BHADRAK,General,High,0,56.742873787879944,43.257129192352295
12404,BHADRAK,OBC,High,1,19.72057819366455,80.27942180633545
12404,BHADRAK,SC,High,1,9.432923793792725,90.56707620620728
12404,BHADRAK,ST,High,0,77.49419510364532,22.505801916122437
12404,BHADRAK,Overall,High,1,23.126521706581116,76.87348127365112
12405,BOLANGIR,General,High,0,76.72200351953506,23.277997970581055
12405,BOLANGIR,OBC,High,0,75.98847150802612,24.0115225315094
12405,BOLANGIR,SC,High,0,67.69542396068573,32.30457305908203
12405,BOLANGIR,ST,High,0,77.49419510364532,22.505801916122437
12405,BOLANGIR,Overall,High,0,72.18186259269714,27.818137407302856
12406,BOUDH,General,High,1,0.01335469278274104,99.98664855957031
12406,BOUDH,OBC,High,1,1.4595109969377518,98.5404908657074
12406,BOUDH,SC,High,1,25.200366973876953,74.79963302612305
12406,BOUDH,ST,High,1,3.1521208584308624,96.8478798866272
12406,BOUDH,Overall,High,1,2.2818973287940025,97.7181077003479
12407,CUTTACK,General,Middle,0,81.13826513290405,18.861734867095947
12407,CUTTACK,OBC,Middle,1,38.919797539711,61.08020544052124
12407,CUTTACK,SC,Middle,0,73.80271553993225,26.197290420532227
12407,CUTTACK,ST,Middle,0,56.21008574962616,43.7899112701416
12407,CUTTACK,Overall,Middle,0,57.81960189342499,42.18039512634277
12408,DEOGARH,General,Middle,0,81.13826513290405,18.861734867095947
12408,DEOGARH,OBC,Middle,1,19.200944900512695,80.7990550994873
12408,DEOGARH,SC,Middle,0,51.69144868850708,48.30854535102844
12408,DEOGARH,ST,Middle,1,45.52353024482727,54.47646975517273
12408,DEOGARH,Overall,Middle,0,57.81960189342499,42.18039512634277
12409,DHENKANAL,General,High,1,0.07033544825389981,99.92966651916504
12409,DHENKANAL,OBC,High,0,75.98847150802612,24.0115225315094
12409,DHENKANAL,SC,High,0,72.66252934932709,27.337467670440674
12409,DHENKANAL,ST,High,1,4.078320786356926,95.92167735099792
12409,DHENKANAL,Overall,High,1,33.27117562294006,66.72881841659546
12410,GAJAPATI,General,High,0,76.72200351953506,23.277997970581055
12410,GAJAPATI,OBC,High,0,75.98847150802612,24.0115225315094
12410,GAJAPATI,SC,High,0,75.51307380199432,24.486929178237915
12410,GAJAPATI,ST,High,1,0.21755998022854328,99.78244304656982
12410,GAJAPATI,Overall,High,1,6.285379081964493,93.71461868286133
12411,GANJAM,General,Middle,0,81.13826513290405,18.861734867095947
12411,GANJAM,OBC,Middle,1,32.43623673915863,67.56375432014465
12411,GANJAM,SC,Middle,0,73.80271553993225,26.197290420532227
12411,GANJAM,ST,Middle,0,56.21008574962616,43.7899112701416
12411,GANJAM,Overall,Middle,0,57.819610834121704,42.180389165878296
12412,JAGATSINGHPUR,General,Middle,0,81.13827854394913,18.861716985702515
12412,JAGATSINGHPUR,OBC,Middle,1,18.64057183265686,81.35942816734314
12412,JAGATSINGHPUR,SC,Middle,0,73.80271553993225,26.197290420532227
12412,JAGATSINGHPUR,ST,Middle,0,56.21008574962616,43.7899112701416
12412,JAGATSINGHPUR,Overall,Middle,0,57.81960189342499,42.18039512634277
12413,JAJPUR,General,Middle,1,46.980664134025574,53.019338846206665
12413,JAJPUR,OBC,Middle,1,38.919797539711,61.08020544052124
12413,JAJPUR,SC,Middle,0,73.80271553993225,26.197290420532227
12413,JAJPUR,ST,Middle,0,56.21008574962616,43.7899112701416
12413,JAJPUR,Overall,Middle,0,57.81960189342499,42.18039512634277
12414,JHARSUGUDA,General,High,0,76.45556032657623,23.54443669319153
12414,JHARSUGUDA,OBC,High,0,75.98847150802612,24.0115225315094
12414,JHARSUGUDA,SC,High,0,75.51307380199432,24.486929178237915
12414,JHARSUGUDA,ST,High,1,12.397018074989319,87.60297894477844
12414,JHARSUGUDA,Overall,High,0,72.18186259269714,27.818137407302856
12415,KALAHANDI,General,High,0,76.72200351953506,23.277997970581055
12415,KALAHANDI,OBC,High,0,75.98847150802612,24.0115225315094
12415,KALAHANDI,SC,High,0,75.51307380199432,24.486929178237915
12415,KALAHANDI,ST,High,0,55.28241693973541,44.71757411956787
12415,KALAHANDI,Overall,High,0,72.18186259269714,27.818137407302856
12416,KANDHAMAL,General,High,0,76.72200351953506,23.277997970581055
12416,KANDHAMAL,OBC,High,1,0.017356367607135326,99.98264908790588
12416,KANDHAMAL,SC,High,1,42.54642724990845,57.45357275009155
12416,KANDHAMAL,ST,High,0,77.49419510364532,22.505801916122437
12416,KANDHAMAL,Overall,High,1,44.87878978252411,55.12121915817261
12417,KENDRAPARA,General,Low,1,0.003052061947528273,99.9969482421875
12417,KENDRAPARA,OBC,Low,0,83.59087258577347,16.40912890434265
12417,KENDRAPARA,SC,Low,1,14.634230732917786,85.36576628684998
12417,KENDRAPARA,ST,Low,0,76.07334405183792,23.92665147781372
12417,KENDRAPARA,Overall,Low,0,65.89116752147675,34.10882353782654
12418,KEONJHAR,General,Low,0,77.01365351676941,22.98634648323059
