DNo,Location,Social Category,Income,dropout,upPrim_Girls_social_category,upPrim_Girls_income
12303,KOHIMA,General,High,0,78.3909946680069,21.609002351760864
12303,KOHIMA,OBC,High,1,6.808031350374222,93.19196939468384
12303,KOHIMA,SC,High,0,78.72750461101532,21.27249240875244
12303,KOHIMA,ST,High,0,83.93716812133789,16.062837839126587
12303,KOHIMA,Overall,High,0,72.57311046123505,27.426892518997192
12304,LONGLENG,General,High,0,78.3909946680069,21.609002351760864
12304,LONGLENG,OBC,High,1,2.250879482801338e-06,100.0
12304,LONGLENG,SC,High,1,3.738013655660462e-12,100.0
12304,LONGLENG,ST,High,1,11.51856929063797,88.48143219947815
12304,LONGLENG,Overall,High,1,0.2775463741272688,99.72245693206787
12305,MOKOKCHUNG,General,High,0,78.3909946680069,21.609002351760864
12305,MOKOKCHUNG,OBC,High,0,79.61528301239014,20.38472294807434
12305,MOKOKCHUNG,SC,High,0,78.72750461101532,21.27249240875244
12305,MOKOKCHUNG,ST,High,1,0.6542369723320007,99.34576153755188
12305,MOKOKCHUNG,Overall,High,1,3.5928454250097275,96.407151222229
12306,MON,General,High,1,0.03688942233566195,99.96310472488403
12306,MON,OBC,High,0,79.61528301239014,20.38472294807434
12306,MON,SC,High,1,4.1751142987322964e-06,100.0
12306,MON,ST,High,1,0.1455274992622435,99.8544692993164
12306,MON,Overall,High,1,0.23718331940472126,99.76281523704529
12307,PEREN,General,Low,1,1.0128574956524972e-05,99.99998807907104
12307,PEREN,OBC,Low,0,78.68927717208862,21.3107168674469
12307,PEREN,SC,Low,1,2.9569071635648925e-07,100.0
12307,PEREN,ST,Low,1,4.519795253872871,95.48020362854004
12307,PEREN,Overall,Low,1,0.401922594755888,99.59807395935059
12308,PHEK,General,High,0,78.3909946680069,21.609002351760864
12308,PHEK,OBC,High,0,79.61528301239014,20.38472294807434
12308,PHEK,SC,High,1,0.007450384873664007,99.99254941940308
12308,PHEK,ST,High,1,1.5867006033658981,98.41330051422119
12308,PHEK,Overall,High,1,1.4197705313563347,98.58023524284363
12309,TUENSANG,General,High,0,78.3909946680069,21.609002351760864
12309,TUENSANG,OBC,High,0,79.61528301239014,20.38472294807434
12309,TUENSANG,SC,High,0,78.72750461101532,21.27249240875244
12309,TUENSANG,ST,High,1,0.12705267872661352,99.8729407787323
12309,TUENSANG,Overall,High,1,1.2310794554650784,98.76891374588013
