DNo,Location,Social Category,Income,dropout,prim_Overall_social_category,prim_Overall_income
10332,SARAN,ST,Low,1,0.0028958404072909616,99.99710321426392
10332,SARAN,Overall,Low,1,49.768635630607605,50.231361389160156
10333,SHEIKHPURA,General,Low,0,56.72890841960907,43.27109456062317
10333,SHEIKHPURA,OBC,Low,1,0.47657773829996586,99.52341914176941
10333,SHEIKHPURA,SC,Low,0,71.1839348077774,28.816068172454834
10333,SHEIKHPURA,ST,Low,0,78.71292531490326,21.28707766532898
10333,SHEIKHPURA,Overall,Low,1,0.4550502635538578,99.54494833946228
10334,SHEOHAR,General,High,0,70.4255074262619,29.57448959350586
10334,SHEOHAR,OBC,High,1,0.5557669792324305,99.44422841072083
10334,SHEOHAR,SC,High,1,37.725046277046204,62.27495074272156
10334,SHEOHAR,ST,High,0,84.13024693727493,15.869754552841187
10334,SHEOHAR,Overall,High,0,84.13024693727493,15.869754552841187
10335,SITAMARHI,General,High,1,0.3686911892145872,99.63130354881287
10335,SITAMARHI,OBC,High,0,84.28528308868408,15.714716911315918
10335,SITAMARHI,SC,High,1,0.27459687553346157,99.72540736198425
10335,SITAMARHI,ST,High,1,0.3220781683921814,99.67792630195618
10335,SITAMARHI,Overall,High,0,81.68446719646454,18.3155357837677
10336,SIWAN,General,High,1,0.3701285691931844,99.62987303733826
10336,SIWAN,OBC,High,0,55.18921613693237,44.810789823532104
10336,SIWAN,SC,High,0,84.13024693727493,15.869754552841187
10336,SIWAN,ST,High,1,49.16931688785553,50.83069205284119
10336,SIWAN,Overall,High,1,0.34665223211050034,99.65335130691528
10337,SUPAUL,General,High,1,0.20644324831664562,99.79355335235596
10337,SUPAUL,OBC,High,1,0.24591838009655476,99.7540831565857
10337,SUPAUL,SC,High,1,0.16494973096996546,99.83505010604858
10337,SUPAUL,ST,High,0,82.5015664100647,17.498433589935303
