DNo,Location,Social Category,Income,dropout,snr_Overall_social_category,snr_Overall_income
10506,BIJAPUR,General,High,1,0.00037980967135808896,99.99961853027344
10506,BIJAPUR,General,Low,0,88.95367830991745,11.04632019996643
10506,BIJAPUR,OBC,High,1,0.004844103750656359,99.99516010284424
10506,BIJAPUR,OBC,Low,1,0.0050763326726155356,99.99492168426514
10506,BIJAPUR,SC,High,1,0.018222494691144675,99.98177886009216
10506,BIJAPUR,SC,Low,1,0.0034361855796305463,99.99656677246094
10506,BIJAPUR,ST,High,1,1.6991600394248962,98.30083847045898
10506,BIJAPUR,ST,Low,1,0.48387576825916767,99.5161235332489
10506,BIJAPUR,Overall,High,1,0.012044596223859116,99.98795986175537
10506,BIJAPUR,Overall,Low,0,88.95367830991745,11.04632019996643
10507,BILASPUR,General,High,1,8.395152235607384e-05,99.99991655349731
10507,BILASPUR,General,High,0,88.95367830991745,11.04632019996643
10507,BILASPUR,OBC,High,1,3.5146054955248474e-06,100.0
10507,BILASPUR,OBC,High,1,0.6529310252517462,99.34706687927246
10507,BILASPUR,SC,High,0,88.16307261586189,11.836928129196167
10507,BILASPUR,SC,High,1,0.0724733923561871,99.9275267124176
10507,BILASPUR,ST,High,0,79.8694297671318,20.130568742752075
10507,BILASPUR,ST,High,1,0.06649483693763614,99.9334990978241
10507,BILASPUR,Overall,High,1,0.010610299068503082,99.98939037322998
10507,BILASPUR,Overall,High,1,0.0010155236850550864,99.99898672103882
10508,DANTEWADA,General,High,1,0.01073810999514535,99.98925924301147
10508,DANTEWADA,OBC,High,1,13.475611805915833,86.5243911743164
10508,DANTEWADA,SC,High,0,81.33489042520523,18.66511106491089
10508,DANTEWADA,ST,High,1,0.09237182093784213,99.9076247215271
10508,DANTEWADA,Overall,High,0,55.768293142318726,44.231706857681274
10509,DHAMTARI,General,High,1,0.00018034020285995211,99.99982118606567
10509,DHAMTARI,OBC,High,1,0.10395150166004896,99.89604949951172
10509,DHAMTARI,SC,High,1,0.05176771664991975,99.9482274055481
10509,DHAMTARI,ST,High,1,36.727410554885864,63.272589445114136
10509,DHAMTARI,Overall,High,1,3.391825407743454,96.60817980766296
10510,DURG,General,Middle,1,9.924372434966244e-07,100.0
10510,DURG,OBC,Middle,1,0.006802257121307775,99.99319314956665
10510,DURG,SC,Middle,1,0.12542122276499867,99.87457990646362
10510,DURG,ST,Middle,1,0.05033835186623037,99.9496579170227
10510,DURG,Overall,Middle,1,0.005438128937385045,99.99456405639648
10511,GARIABAND,General,Middle,1,0.005596513801719993,99.99440908432007
10511,GARIABAND,OBC,Middle,1,1.4589980244636536,98.54099750518799
10511,GARIABAND,SC,Middle,1,0.000524722736372496,99.99947547912598
10511,GARIABAND,ST,Middle,1,0.045839877566322684,99.95416402816772
10511,GARIABAND,Overall,Middle,1,0.21829698234796524,99.78170394897461
10512,GOURELAPENDRAMARVAHI,General,Middle,1,0.08723684004507959,99.91276860237122
10512,GOURELAPENDRAMARVAHI,OBC,Middle,1,0.6846899632364511,99.31530952453613
10512,GOURELAPENDRAMARVAHI,SC,Middle,1,0.0003135116685371031,99.99969005584717
10512,GOURELAPENDRAMARVAHI,ST,Middle,1,0.0037657053326256573,99.9962329864502
10512,GOURELAPENDRAMARVAHI,Overall,Middle,1,0.07474038284271955,99.92526173591614
10513,JANJGIR-CHAMPA,General,Middle,1,3.811519206919911e-05,99.99996423721313
10513,JANJGIR-CHAMPA,OBC,Middle,1,0.030240090563893318,99.96976852416992
10513,JANJGIR-CHAMPA,SC,Middle,0,88.16307261586189,11.836928129196167
10513,JANJGIR-CHAMPA,ST,Middle,0,79.8694297671318,20.130568742752075
10513,JANJGIR-CHAMPA,Overall,Middle,0,88.95367830991745,11.04632019996643
10514,JASHPUR,General,High,1,1.9972829079506482e-05,99.99997615814209
10514,JASHPUR,OBC,High,0,81.33489042520523,18.66511106491089
10514,JASHPUR,SC,High,1,1.3436493237484193e-09,100.0
10514,JASHPUR,ST,High,1,0.034968339605256915,99.96503591537476
10514,JASHPUR,Overall,High,1,0.006750052853021771,99.99325275421143
10515,KANKER,General,High,1,8.883646387403132e-05,99.99991655349731
10515,KANKER,OBC,High,1,1.8858334271953936e-05,99.99997615814209
10515,KANKER,SC,High,1,0.007332025415962562,99.99266862869263
10515,KANKER,ST,High,0,56.32750689983368,43.67249011993408
10515,KANKER,Overall,High,1,11.06894537806511,88.93104791641235
10516,KAWARDHA,General,High,1,0.062139431247487664,99.93785619735718
10516,KAWARDHA,OBC,High,1,0.021874204685445875,99.97813105583191
10516,KAWARDHA,SC,High,1,0.013283583393786103,99.98672008514404
10516,KAWARDHA,ST,High,0,71.53106927871704,28.46893072128296
10516,KAWARDHA,Overall,High,0,80.89867830276489,19.101321697235107
10517,KONDAGAON,General,High,1,0.04637942474801093,99.95362758636475
10517,KONDAGAON,OBC,High,1,0.09899372234940529,99.90100860595703
10517,KONDAGAON,SC,High,1,2.3848460099090696e-10,100.0
10517,KONDAGAON,ST,High,1,42.374396324157715,57.62560963630676
10517,KONDAGAON,Overall,High,1,0.1932874321937561,99.80670809745789
10518,KORBA,General,High,1,0.0004390598860481987,99.99955892562866
10518,KORBA,OBC,High,1,0.0002702622396100196,99.99972581863403
10518,KORBA,SC,High,1,5.226877419772791e-06,100.0
10518,KORBA,ST,High,1,4.9641653276921716e-05,99.99995231628418
10518,KORBA,Overall,High,1,0.18604809883981943,99.8139500617981
10519,KORIYA,General,High,0,72.44174778461456,27.558255195617676
10519,KORIYA,OBC,High,1,0.0005707919171982212,99.99942779541016
10519,KORIYA,SC,High,1,0.03698855289258063,99.96300935745239
10519,KORIYA,ST,High,1,0.03096059081144631,99.96904134750366
10519,KORIYA,Overall,High,1,0.00017936835092768888,99.99982118606567
10520,MAHASAMUND,General,High,1,0.01518490316811949,99.98481273651123
10520,MAHASAMUND,OBC,High,1,0.0008906049515644554,99.99910593032837
10520,MAHASAMUND,SC,High,1,1.514589842432912e-08,100.0
10520,MAHASAMUND,ST,High,1,9.775644540786743,90.22436141967773
10520,MAHASAMUND,Overall,High,1,0.5972761195152998,99.40272569656372
10521,MUNGELI,General,High,1,4.091004370820883e-05,99.99996423721313
10521,MUNGELI,OBC,High,1,0.01944944669958204,99.98055100440979
10521,MUNGELI,SC,High,1,0.0010312057383998763,99.99896287918091
10521,MUNGELI,ST,High,1,0.9946106001734734,99.00538921356201
10521,MUNGELI,Overall,High,1,0.45363944955170155,99.54636693000793
10522,NARAYANPUR,General,High,0,79.8694297671318,20.130568742752075
10522,NARAYANPUR,OBC,High,1,0.020210516231600195,99.97978806495667
10522,NARAYANPUR,SC,High,1,0.001362751117994776,99.99864101409912
10522,NARAYANPUR,ST,High,1,1.3611357659101486,98.6388623714447
10522,NARAYANPUR,Overall,High,0,88.95367830991745,11.04632019996643
10523,RAIGARH,General,High,1,0.0067757653596345335,99.99322891235352
10523,RAIGARH,General,High,0,81.33489042520523,18.66511106491089
10523,RAIGARH,OBC,High,1,0.003873417153954506,99.9961256980896
10523,RAIGARH,OBC,High,1,1.0484866308502205e-06,100.0
10523,RAIGARH,SC,High,1,0.06635632598772645,99.93364214897156
10523,RAIGARH,SC,High,1,0.48387576825916767,99.5161235332489
10523,RAIGARH,ST,High,0,88.1630651652813,11.836934089660645
10523,RAIGARH,ST,High,1,0.001493241416028468,99.99850988388062
10523,RAIGARH,Overall,High,1,0.04545431293081492,99.95453953742981
10523,RAIGARH,Overall,High,1,6.312819067488817e-06,99.99998807907104
10524,RAIPUR,General,High,1,20.32942771911621,79.67056632041931
10524,RAIPUR,OBC,High,1,1.0498477109877058e-05,99.99998807907104
10524,RAIPUR,SC,High,1,0.010193081106990576,99.98980760574341
10524,RAIPUR,ST,High,1,0.010835930879693478,99.98916387557983
10524,RAIPUR,Overall,High,0,55.52765429019928,44.47234869003296
10525,RAJNANDGAON,General,High,0,88.16307261586189,11.836928129196167
10525,RAJNANDGAON,OBC,High,1,9.328655892204551e-06,99.99998807907104
10525,RAJNANDGAON,SC,High,1,0.00018991090655617882,99.99980926513672
10525,RAJNANDGAON,ST,High,1,5.757027210506749e-06,100.0
10525,RAJNANDGAON,Overall,High,1,0.35366120282560587,99.64633584022522
10526,SUKMA,General,High,1,7.201069252005254e-06,99.99998807907104
10526,SUKMA,OBC,High,1,0.0008557323781133164,99.99914169311523
10526,SUKMA,SC,High,1,0.00875265322974883,99.99125003814697
10526,SUKMA,ST,High,0,79.8694297671318,20.130568742752075
10526,SUKMA,Overall,High,1,6.081585213541985,93.91841888427734
10527,SURAJPUR,General,High,0,79.8694297671318,20.130568742752075
10527,SURAJPUR,OBC,High,1,0.003615003515733406,99.99638795852661
10527,SURAJPUR,SC,High,1,8.135929192576441e-05,99.99991655349731
10527,SURAJPUR,ST,High,1,0.0004180847099632956,99.99958276748657
10527,SURAJPUR,Overall,High,1,0.40167742408812046,99.59832429885864
10528,SURGUJA,General,High,1,0.00011103603583251243,99.9998927116394
10528,SURGUJA,OBC,High,1,17.878468334674835,82.12153315544128
10528,SURGUJA,SC,High,1,0.05658691516146064,99.94340538978577
10528,SURGUJA,ST,High,1,0.019896315643563867,99.98010993003845
