Sanathal,382210,22.9684565,72.46875096,"Sanathal Lake, Telav - 382213, GJ, India",Sanathal Lake,,Sanathal Lake,382213,,,Telav,Sanand Taluka,Gujarat,GJ,India,in,0.3,0.3,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sarkhej,382210,22.98297,72.50196,"Sarkhej, Ahmadabad, India",,,,,,,Sarkhej,Ahmadabad,Gujarat,GJ,India,in,0,,,CC BY 4.0,https://www.geonames.org/datasources/
Telav,382210,22.982789,72.435489,"Telav, Ahmadabad, India",,,,,,,Telav,Ahmadabad,Gujarat,GJ,India,in,0,,,,https://www.whosonfirst.org/docs/licenses/
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Gomtipur,380021,23.653194,73.577056,"Gomtipur, Sabar Kantha, India",,,,,,,Gomtipur,Sabar Kantha,Gujarat,GJ,India,in,0,,,,https://www.whosonfirst.org/docs/licenses/
Rajpur Gomtipur,380021,23.0136957,72.620581,"Rajpur Gomtipur, Ahmedabad - 380001, GJ, India",Rajpur Gomtipur,,,380001,,Rajpur Gomtipur,Ahmedabad,Ahmedabad City Taluka,Gujarat,GJ,India,in,0,0.3,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Charanki,382450,22.214827,71.838871,"Charanki, Ahmadabad, India",,,,,,,Charanki,Ahmadabad,Gujarat,GJ,India,in,0,,,,https://www.whosonfirst.org/docs/licenses/
Khambhada,382450,22.163145,71.799842,"Khambhada, Ahmadabad, India",,,,,,,Khambhada,Ahmadabad,Gujarat,GJ,India,in,0,,,,https://www.whosonfirst.org/docs/licenses/
Khamidana,382450,21.308581,70.124238,"Khamidana, Junagadh, India",,,,,,,Khamidana,Junagadh,Gujarat,GJ,India,in,0,,,,https://www.whosonfirst.org/docs/licenses/
Akru,382250,22.26816,71.996001,"Akru, Ahmadabad, India",,,,,,,Akru,Ahmadabad,Gujarat,GJ,India,in,0,,,,https://www.whosonfirst.org/docs/licenses/
,,,,,,,,,,,,,,,,,,,,,
Navda,382450,22.163508,71.969747,"Navda, Ahmadabad, India",,,,,,,Navda,Ahmadabad,Gujarat,GJ,India,in,0,,,,https://www.whosonfirst.org/docs/licenses/
Chokdi,382250,23.6059796,72.3814234,"Radhanpur Chokdi, Ahmedabad Palanpur State Highway SH41, Suryoday Nagar, Mahesana - 384002, GJ, India",Radhanpur Chokdi,,Ahmedabad Palanpur State Highway SH41,384002,,Suryoday Nagar,Mahesana,Mahesana Taluka,Gujarat,GJ,India,in,0.27,0.3,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Rojid,382450,22.194614,71.888156,"Rojid, Ahmadabad, India",,,,,,,Rojid,Ahmadabad,Gujarat,GJ,India,in,0,,,,https://www.whosonfirst.org/docs/licenses/
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Polarpur,382250,22.240383,71.920171,"Polarpur, Ahmadabad, India",,,,,,,Polarpur,Ahmadabad,Gujarat,GJ,India,in,0,,,,https://www.whosonfirst.org/docs/licenses/
