,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,prim,snr,upPrim
1,13202,SC,2,2,3.0,4,4,4.0,1,4,4.0,,,
2,13203,SC,2,2,3.0,4,4,4.0,1,4,4.0,,,
3,13204,SC,2,2,3.0,4,4,4.0,1,4,4.0,,,
4,13205,SC,2,2,3.0,4,4,4.0,1,4,4.0,,,
5,13206,SC,2,2,3.0,4,4,0.0,1,4,4.0,,,
6,13207,SC,2,2,3.0,4,4,4.0,1,4,4.0,,,
7,13208,SC,2,2,3.0,4,4,0.0,1,1,2.0,,,
8,13209,SC,2,2,3.0,4,4,4.0,1,4,4.0,,,
9,13210,SC,2,2,3.0,3,4,0.0,1,1,2.0,,,
10,13211,SC,2,2,3.0,3,4,0.0,1,1,2.0,,,
11,13212,SC,2,2,3.0,3,4,0.0,1,1,2.0,,,
12,13213,SC,2,2,3.0,3,4,0.0,4,1,2.0,,,
13,13214,SC,2,2,1.0,3,1,0.0,4,1,2.0,,,
14,13215,SC,2,2,1.0,3,1,0.0,4,1,2.0,,,
15,13216,SC,2,2,1.0,3,1,0.0,4,1,2.0,,,
16,13217,SC,1,3,1.0,3,1,0.0,4,1,2.0,,,
17,13218,SC,1,3,1.0,3,1,0.0,4,1,2.0,,,
18,13219,SC,1,3,1.0,3,1,0.0,4,1,2.0,,,
19,13220,SC,1,3,1.0,3,1,0.0,4,1,2.0,,,
20,13221,SC,1,3,1.0,3,1,0.0,4,1,2.0,,,
21,13222,SC,1,3,1.0,3,1,0.0,4,1,2.0,,,
22,13223,SC,1,3,1.0,3,1,0.0,4,3,2.0,,,
23,13224,SC,1,3,1.0,1,3,1.0,4,3,1.0,,,
24,13225,SC,1,3,1.0,1,1,0.0,4,1,2.0,,,
25,13226,SC,1,3,1.0,1,1,0.0,4,3,1.0,,,
26,13227,SC,1,3,1.0,1,3,1.0,3,3,1.0,,,
27,13228,SC,1,3,1.0,1,3,1.0,3,3,1.0,,,
28,13229,SC,1,3,1.0,1,3,1.0,3,3,1.0,,,
29,13230,SC,1,3,1.0,1,1,0.0,3,3,1.0,,,
30,13231,SC,1,4,4.0,1,3,1.0,3,3,1.0,,,
31,13232,SC,3,4,4.0,1,3,1.0,3,3,1.0,,,
32,13233,SC,1,4,4.0,1,3,1.0,3,3,1.0,,,
33,13234,SC,3,4,4.0,1,3,1.0,3,3,1.0,,,
34,13235,SC,3,4,4.0,1,3,1.0,3,3,1.0,,,
35,13236,SC,3,4,4.0,1,3,1.0,3,2,1.0,,,
36,13237,SC,3,4,4.0,1,3,1.0,3,2,1.0,,,
37,13238,SC,3,4,4.0,0,3,1.0,3,2,1.0,,,
38,13239,SC,3,4,4.0,0,3,1.0,3,2,1.0,,,
39,13240,SC,3,4,4.0,0,0,1.0,3,2,1.0,,,
40,13241,SC,3,0,2.0,0,0,1.0,0,2,3.0,,,
41,13242,SC,3,4,2.0,0,0,3.0,0,2,1.0,,,
42,13243,SC,3,4,2.0,0,3,3.0,0,2,1.0,,,
43,13244,SC,3,0,2.0,0,0,3.0,0,2,3.0,,,
44,13245,SC,3,0,2.0,0,0,3.0,0,2,3.0,,,
45,13246,SC,3,0,2.0,0,0,3.0,0,2,3.0,,,
46,13247,SC,0,0,2.0,0,0,3.0,0,2,3.0,,,
47,13248,SC,0,0,2.0,0,0,3.0,0,2,3.0,,,
48,13249,SC,0,0,2.0,0,0,3.0,0,2,3.0,,,
49,13250,SC,0,0,2.0,0,0,3.0,0,2,3.0,,,
50,13251,SC,0,0,2.0,0,0,3.0,0,2,3.0,,,
51,13252,SC,0,0,2.0,0,0,3.0,0,2,3.0,,,
52,13253,SC,0,0,0.0,0,0,3.0,0,0,0.0,,,
53,13254,SC,0,0,2.0,0,0,3.0,0,0,0.0,,,
54,13255,SC,0,0,0.0,0,0,2.0,0,0,0.0,,,
55,13256,SC,0,0,2.0,0,0,3.0,2,0,3.0,,,
56,13257,SC,0,0,0.0,0,2,2.0,0,0,0.0,,,
57,13258,SC,0,0,0.0,0,0,2.0,0,0,0.0,,,
58,13259,SC,0,0,0.0,0,2,2.0,0,0,0.0,,,
59,13260,SC,0,1,0.0,2,2,2.0,0,0,0.0,,,
60,13261,SC,0,1,0.0,0,2,2.0,0,0,0.0,,,
61,13262,SC,4,1,0.0,2,2,2.0,2,0,0.0,,,
62,13263,SC,4,1,0.0,2,2,2.0,2,0,0.0,,,
63,13264,SC,4,1,0.0,2,2,2.0,2,0,0.0,,,
64,13265,SC,4,1,0.0,2,2,2.0,2,0,0.0,,,
65,13266,SC,4,1,0.0,2,2,2.0,2,0,0.0,,,
66,13267,SC,4,1,0.0,2,2,2.0,2,0,0.0,,,
67,13268,SC,4,1,0.0,2,2,2.0,2,0,0.0,,,
68,13269,SC,4,1,0.0,2,2,2.0,2,0,0.0,,,
69,13270,SC,4,1,0.0,2,2,2.0,2,0,0.0,,,
70,13271,SC,4,1,0.0,2,2,2.0,2,0,0.0,,,
71,13272,SC,4,1,0.0,2,2,2.0,2,0,0.0,,,
72,13273,SC,4,1,0.0,2,2,2.0,2,0,0.0,,,
73,13274,SC,4,1,0.0,2,2,2.0,2,0,0.0,,,
74,13275,SC,4,1,0.0,2,2,2.0,2,0,0.0,,,
0,13201,ST,4,4,3.0,0,2,1.0,4,2,1.0,,,
1,13202,ST,4,4,3.0,0,0,1.0,4,2,1.0,,,
2,13203,ST,4,4,3.0,0,2,1.0,4,2,1.0,,,
3,13204,ST,4,4,3.0,3,2,1.0,3,2,1.0,,,
4,13205,ST,3,2,2.0,3,0,3.0,3,0,3.0,,,
5,13206,ST,3,4,3.0,3,0,3.0,4,2,1.0,,,
6,13207,ST,3,4,3.0,3,0,3.0,3,0,3.0,,,
7,13208,ST,4,4,3.0,0,0,1.0,4,2,1.0,,,
8,13209,ST,3,4,3.0,0,2,1.0,4,2,1.0,,,
9,13210,ST,3,4,3.0,0,2,1.0,4,2,1.0,,,
10,13211,ST,4,4,3.0,0,2,1.0,4,2,1.0,,,
11,13212,ST,4,4,3.0,0,2,1.0,4,2,1.0,,,
12,13213,ST,4,4,3.0,3,2,1.0,4,2,1.0,,,
13,13214,ST,4,4,3.0,0,2,1.0,4,2,1.0,,,
14,13215,ST,3,4,3.0,0,2,1.0,4,2,1.0,,,
15,13216,ST,0,4,3.0,3,0,3.0,4,2,1.0,,,
16,13217,ST,0,4,3.0,3,0,3.0,4,2,1.0,,,
17,13218,ST,0,4,3.0,0,2,1.0,3,0,3.0,,,
18,13219,ST,0,4,1.0,3,0,3.0,1,2,1.0,,,
