DNo,Location,Social Category,Income,fact_socialcat,fact_income
10509,DHAMTARI,General,High,2.6215312e-05,99.99998
10509,DHAMTARI,OBC,High,0.0008468298,99.99915
10509,DHAMTARI,SC,High,0.00018094937,99.999825
10509,DHAMTARI,ST,High,15.47842,84.521576
10509,DHAMTARI,Overall,High,1.5002555,98.49975
10510,DURG,General,Middle,1.2340273e-06,100.0
10510,DURG,OBC,Middle,2.0173353e-05,99.99998
10510,DURG,SC,Middle,2.5003186e-05,99.99998
10510,DURG,ST,Middle,0.00020645246,99.999794
10510,DURG,Overall,Middle,0.0003654016,99.99963
10511,GARIABAND,General,Middle,8.216257e-05,99.999916
10511,GARIABAND,OBC,Middle,0.012938251,99.98707
10511,GARIABAND,SC,Middle,3.8956267e-05,99.99996
10511,GARIABAND,ST,Middle,3.799325e-05,99.99996
10511,GARIABAND,Overall,Middle,0.009794443,99.990204
10512,GOURELAPENDRAMARVAHI,General,Middle,0.010678274,99.98932
10512,GOURELAPENDRAMARVAHI,OBC,Middle,0.0025659162,99.99744
10512,GOURELAPENDRAMARVAHI,SC,Middle,2.7441047e-05,99.99998
10512,GOURELAPENDRAMARVAHI,ST,Middle,6.118099e-05,99.99994
10512,GOURELAPENDRAMARVAHI,Overall,Middle,0.0001720784,99.99983
10513,JANJGIR-CHAMPA,General,Middle,4.5881208e-08,100.0
10513,JANJGIR-CHAMPA,OBC,Middle,0.03786123,99.96214
10514,JASHPUR,General,High,1.9253477e-05,99.99998
10514,JASHPUR,SC,High,3.847919e-09,100.0
10514,JASHPUR,ST,High,0.000121948855,99.99988
10514,JASHPUR,Overall,High,0.00014221006,99.999855
10515,KANKER,General,High,1.3416974e-06,100.0
10515,KANKER,OBC,High,0.0002908028,99.99971
10515,KANKER,SC,High,0.0004849947,99.99951
10515,KANKER,ST,High,26.907482,73.092514
10515,KANKER,Overall,High,0.24310401,99.75689
10516,KAWARDHA,General,High,0.0014827972,99.99852
10516,KAWARDHA,OBC,High,0.00010263789,99.99989
10516,KAWARDHA,SC,High,0.00022262069,99.99977
10517,KONDAGAON,General,High,3.764133e-05,99.99996
10517,KONDAGAON,OBC,High,0.000102637685,99.99989
10517,KONDAGAON,SC,High,1.3725927e-10,100.0
10517,KONDAGAON,ST,High,32.024105,67.9759
10517,KONDAGAON,Overall,High,0.0006931781,99.999306
