State,DNo,Location,Social Category,Income,dropout,prim_Girls_social_category,prim_Girls_income,prim_Boys_social_category,prim_Boys_income,prim_Overall_social_category,prim_Overall_income,upPrim_Girls_social_category,upPrim_Girls_income,upPrim_Boys_social_category,upPrim_Boys_income,upPrim_Overall_social_category,upPrim_Overall_income,snr_Girls_social_category,snr_Girls_income,snr_Boys_social_category,snr_Boys_income,snr_Overall_social_category,snr_Overall_income
ASSAM,10203,BARPETA,Overall,High,0,81.92795664,18.07204485,76.44387186,23.55613112,78.39024067,21.60975933,53.35783064,46.64217234,68.67536902,31.32463098,73.85933697,26.14066601,36.52280569,63.47719431,70.3637749,29.63622808,48.86784256,51.13215446
ASSAM,10204,BISWANATH,General,High,0,85.04921645,14.95078802,81.66470081,18.33530068,78.71292531,21.28707767,57.45631158,42.5436914,64.78815079,35.21184921,70.59009969,29.40990329,0.023315943,99.97668862,0.00757134,99.99243021,0.00175785,99.99824762
ASSAM,10204,BISWANATH,OBC,High,0,82.6694265,17.33057499,1.172965672,98.8270402,49.77938235,50.22062063,0.00569407,99.9943018,0.024285098,99.97571111,0.071123365,99.92886782,0.001250628,99.9987483,8.30E-05,99.99991655,9.40E-05,99.99990463
ASSAM,10204,BISWANATH,SC,High,1,0.311123673,99.68888164,18.34685504,81.65314198,2.066543512,97.93345928,1.788379624,98.21162224,0.577132311,99.42287207,1.848495379,98.15151095,3.025121428,96.97487354,0.010138059,99.98985529,0.019178136,99.98082519
ASSAM,10204,BISWANATH,ST,High,0,86.23487353,13.76512051,81.2612325,18.73877048,84.13024694,15.86975455,6.763417274,93.23658347,0.485207746,99.51478839,2.914392203,97.08560705,0.083252235,99.91674423,0.177472667,99.82252717,0.072473427,99.92752671
ASSAM,10204,BISWANATH,Overall,High,1,0.152415212,99.84758496,79.20586467,20.79414129,82.50156641,17.49843359,74.06021953,25.93978047,77.45562643,22.54437804,80.99277169,19.00722384,70.68471014,29.31529284,88.78800124,11.21199727,81.33489043,18.66511106
ASSAM,10205,BONGAIGAON,General,High,1,0.258416892,99.7415781,2.146809362,97.85319567,0.523390388,99.47661161,57.45631158,42.5436914,64.78815079,35.21184921,70.59009969,29.40990329,0.002534899,99.99746084,0.03884566,99.96115565,0.002011398,99.99798536
ASSAM,10205,BONGAIGAON,OBC,High,0,86.78786159,13.21213245,79.34147567,20.65852284,84.20865685,15.79134464,14.90067244,85.0993216,77.26988643,22.73010612,80.24390489,19.7560966,0.084240461,99.9157548,0.224140123,99.77586269,0.035224497,99.96477365
ASSAM,10205,BONGAIGAON,SC,High,0,87.81744987,12.18255162,79.20586467,20.79414129,82.50156641,17.49843359,74.06021953,25.93978047,77.45562643,22.54437804,80.99277169,19.00722384,70.68471014,29.31529284,88.78800124,11.21199727,81.33489043,18.66511106
ASSAM,10205,BONGAIGAON,ST,High,0,86.78786159,13.21213245,79.34147567,20.65852284,84.20865685,15.79134464,32.28731453,67.71268845,77.26988643,22.73010612,80.24390489,19.7560966,0.055018277,99.94497895,0.098775525,99.90122318,0.013471091,99.98652935
